<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2016.10.31,15:00:00,100.75,100.75,100.75,100.75,100,0,0
2016.11.30,15:00:00,100.88,100.88,100.88,100.88,100,0,0
2016.12.31,15:00:00,101.02,101.02,101.02,101.02,100,0,0
2017.01.31,15:00:00,100.76,100.76,100.76,100.76,100,0,0
2017.02.28,15:00:00,100.78,100.78,100.78,100.78,100,0,0
2017.03.31,15:00:00,101.12,101.12,101.12,101.12,100,0,0
2017.04.30,15:00:00,101.21,101.21,101.21,101.21,100,0,0
2017.05.31,15:00:00,101.18,101.18,101.18,101.18,100,0,0
2017.06.30,15:00:00,101.38,101.38,101.38,101.38,100,0,0
2017.07.31,15:00:00,101.45,101.45,101.45,101.45,100,0,0
2017.08.31,15:00:00,101.47,101.47,101.47,101.47,100,0,0
2017.09.30,15:00:00,101.50,101.50,101.50,101.50,100,0,0
2017.10.31,15:00:00,101.54,101.54,101.54,101.54,100,0,0
2017.11.30,15:00:00,101.68,101.68,101.68,101.68,100,0,0
2017.12.31,15:00:00,101.77,101.77,101.77,101.77,100,0,0
2018.01.31,15:00:00,101.69,101.69,101.69,101.69,100,0,0
2018.02.28,15:00:00,101.71,101.71,101.71,101.71,100,0,0
2018.03.31,15:00:00,101.52,101.52,101.52,101.52,100,0,0
2018.04.30,15:00:00,101.39,101.39,101.39,101.39,100,0,0
2018.05.31,15:00:00,101.62,101.62,101.62,101.62,100,0,0
2018.06.30,15:00:00,101.71,101.71,101.71,101.71,100,0,0
2018.07.31,15:00:00,101.92,101.92,101.92,101.92,100,0,0
2018.08.31,15:00:00,102.03,102.03,102.03,102.03,100,0,0
2018.09.30,15:00:00,102.03,102.03,102.03,102.03,100,0,0
2018.10.31,15:00:00,101.99,101.99,101.99,101.99,100,0,0
2018.11.30,15:00:00,101.97,101.97,101.97,101.97,100,0,0
2018.12.31,15:00:00,101.87,101.87,101.87,101.87,100,0,0
2019.01.31,15:00:00,100.58,100.58,100.58,100.58,100,0,0
2019.02.28,15:00:00,100.81,100.81,100.81,100.81,100,0,0
2019.03.31,15:00:00,101.01,101.01,101.01,101.01,100,0,0
2019.04.30,15:00:00,101.14,101.14,101.14,101.14,100,0,0
2019.05.31,15:00:00,101.06,101.06,101.06,101.06,100,0,0
2019.06.30,15:00:00,101.09,101.09,101.09,101.09,100,0,0
2019.07.31,15:00:00,101.09,101.09,101.09,101.09,100,0,0
2019.08.31,15:00:00,101.11,101.11,101.11,101.11,100,0,0
2019.09.30,15:00:00,101.23,101.23,101.23,101.23,100,0,0
2019.10.31,15:00:00,101.30,101.30,101.30,101.30,100,0,0
2019.11.30,15:00:00,101.31,101.31,101.31,101.31,100,0,0
2019.12.31,15:00:00,101.28,101.28,101.28,101.28,100,0,0
2020.01.31,15:00:00,100.33,100.33,100.33,100.33,100,0,0
2020.02.29,15:00:00,97.44,97.44,97.44,97.44,100,0,0
2020.03.31,15:00:00,98.23,98.23,98.23,98.23,100,0,0
2020.04.30,15:00:00,98.89,98.89,98.89,98.89,100,0,0
2020.05.31,15:00:00,99.36,99.36,99.36,99.36,100,0,0
2020.06.30,15:00:00,99.84,99.84,99.84,99.84,100,0,0
2020.07.31,15:00:00,100.09,100.09,100.09,100.09,100,0,0
2020.08.31,15:00:00,100.32,100.32,100.32,100.32,100,0,0
2020.09.30,15:00:00,100.43,100.43,100.43,100.43,100,0,0
